tree_species_uuid,taxon_id,name
2240122a-e13f-452d-b75a-8dfb68e2c478,wfo-0000452329,Macadamia integrifolia
6a1d2127-5135-426e-b501-4a8147d55fd2,wfo-0000452329,Macadamia integrifolia
90db183a-e5e4-4efe-af7b-073d8e3750c5,wfo-0000452329,Macadamia integrifolia
508692ce-fbc9-4b2c-9efc-6d817a63a23d,wfo-0000452329,Macadamia integrifolia
2354c27a-e36c-4315-b020-9696bbb9eb13,wfo-0000452329,Macadamia integrifolia
9ceb5103-04e6-474e-9458-7cf584da6c69,wfo-0000452329,Macadamia integrifolia
3492b20c-f919-4f23-9c80-06142c232b1f,wfo-0000231857,Macaranga capensis
0ff46509-9d46-4200-896b-1f38cd970a44,wfo-0000231857,Macaranga capensis
c5ae9c58-5017-4589-b5cc-e2f19ad52348,wfo-0000448927,Maesa lanceolata
e619be2e-c318-4b13-9f8f-e7a5217015e5,wfo-0000505131,Swietenia macrophylla
bd16c4b9-06b2-4993-94f7-34fe6e849a06,wfo-0000907754,Zea mays
3ba17c6b-74c3-41d3-9ff8-238fd3cff679,wfo-0000371248,Mangifera indica
46eedf04-6b74-49f1-97dd-397aeedb697b,wfo-0000371248,Mangifera indica
26626fcd-5c2b-4e23-8cb9-f1f1e5b730d5,wfo-0000371248,Mangifera indica
a1a5c4a3-55b6-4b12-a40f-3d0737b4a92b,wfo-0000371248,Mangifera indica
cd7a6869-0bdf-484c-a31f-acc893d58a4a,wfo-0000371248,Mangifera indica
4453b907-1a46-46fc-8863-31119c10a797,wfo-0000450928,Mansonia altissima
589136e7-11be-4c1f-86d7-8de876e57941,wfo-0000779039,Markhamia lutea
bb0f59be-911c-46d2-aaa3-a4b99d666607,wfo-0000779039,Markhamia lutea
886a21eb-6893-4196-9c73-568e2f474ffb,wfo-0000779039,Markhamia lutea
1e6d79bc-353c-448d-a55c-aec4100f2aea,wfo-0000779039,Markhamia lutea
af58b81b-65dd-4154-929a-a00c14c31c44,wfo-0000779039,Markhamia lutea
8ce21695-f8c2-43d4-88a0-9bbcc7f0b11e,wfo-0000779039,Markhamia lutea
9b572745-c687-479e-8798-cd8fbb631968,wfo-0000779039,Markhamia lutea
c5fae74c-c1f6-408c-a14e-d0a65cf3bcb3,wfo-0000779039,Markhamia lutea
bfd69510-1801-4e85-a88e-a07691b977ae,wfo-0000779039,Markhamia lutea
979da3eb-12a1-4ca9-9018-fd774808dab6,wfo-0000779039,Markhamia lutea
e927992c-88e3-40a8-964d-29b4e9a762ba,wfo-0000779039,Markhamia lutea
e5364035-b48d-47e2-a66a-720f4be12928,wfo-0000779039,Markhamia lutea
2b15b658-e660-447a-9dca-55da50e87e5b,wfo-0000779039,Markhamia lutea
bc2638d1-2790-4846-9fec-bd3bf6638fd0,wfo-0000450150,Melia azedarach
6c72658f-2506-4f1b-b16a-f7962b1adb2e,wfo-0000912972,Hesperocyparis lusitanica
8ac0eb1a-054a-40a3-a5fb-98c4a6d7bb87,wfo-0000832344,Fraxinus berlandieriana
582a0c66-83c9-4c9a-8191-32bca2a97618,wfo-0000213828,Brachystegia longifolia
bf692676-cdc9-40c7-a504-6363fbdaae00,wfo-0000213828,Brachystegia longifolia
9db9abfe-8942-4198-82b4-e3d2377d5fc5,wfo-0000172693,Pterocarpus erinaceus
d20728fa-78d7-4e14-b21c-2cb5daa5f82c,wfo-0000172693,Pterocarpus erinaceus
887b1d20-9f0d-4fb4-a397-2ca2b63b25a6,wfo-0000614445,Cola lateritia
554ebced-d3e2-4dee-9064-29fadf526d1c,wfo-0000614445,Cola lateritia
456eb1f1-982d-4a0e-b71c-5f3eb0bec506,wfo-0000614445,Cola lateritia
216c1c15-d81d-4acb-9626-df1610b2f42c,wfo-0001085051,Moringa oleifera
f01676f0-7c56-4746-a13d-13ec3e74194e,wfo-0001085051,Moringa oleifera
0bdbd788-df90-4812-a2b0-2e0bb31151bd,wfo-0001085051,Moringa oleifera
094c2181-1fc1-4184-810d-b3fb96c00f3d,wfo-0001085058,Moringa stenopetala
34b39a38-7c96-4b24-95a2-4ad2eb7a5bd5,wfo-4000024882,Morus
7bdbeebf-e872-4f91-83b9-c4df62625b36,wfo-4000024882,Morus
8490c4f3-a710-40ad-8277-91fa69791f7e,wfo-4000026235,Noronhia
a925b446-8b80-493c-aca2-546ef79c3f67,wfo-0000817789,Olea europaea subsp. cuspidata
bc260c9b-2b7f-4e69-987a-d05971b6f936,wfo-0000817789,Olea europaea subsp. cuspidata
2b4af993-21ff-4e3c-8ee4-a787726e9d08,wfo-0000607909,Citrus x aurantium
c0d287b5-da94-4ea3-8e3b-2c6b1a07a348,wfo-0000480239,Passiflora ligularis
7253f10b-1c90-4b59-8ad7-69ef8f70d5e6,wfo-0000465160,Persea americana
e2894546-63b8-46ed-a8f9-e066e0d7cea2,wfo-0000465160,Persea americana
2c002e0a-b22c-4144-b799-0db4ec50d92c,wfo-0000465160,Persea americana
14e7c4b4-6e6b-4a6c-b0d3-e7d33d79a7c7,wfo-0000183282,Phaseolus vulgaris
1a9bd0c4-9819-40f9-8fc4-f89186dbace5,wfo-0000183282,Phaseolus vulgaris
68f70332-6a08-428b-bead-c34c2520f52b,wfo-4000030481,Podocarpus
bb4e6beb-68cd-443a-a9ec-946de6b8b35d,wfo-4000030481,Podocarpus
6c6b658c-667f-4f35-8dbd-12de9a06b775,wfo-4000030481,Podocarpus
9e97376e-fde7-424e-8b19-1fc507a06ce5,wfo-4000030481,Podocarpus
5713acbd-34b7-40fe-acce-e77419a4ce9a,wfo-0000522640,Afrocarpus falcatus
f3baf4c5-9ea0-448b-b710-3964c913b136,wfo-4000030481,Podocarpus
f7ae29a9-8b44-4f53-a3e8-9eb1fbc5e723,wfo-0000280060,Polyscias fulva
e15a8cd0-517f-433c-9774-691cb83c9e86,wfo-0000280060,Polyscias fulva
ea306352-e835-43bf-8e26-fdf038c99520,wfo-0000995790,Prunus africana
f40121ac-50e7-4891-9b62-bcd3ebd28b0f,wfo-0000984349,Prunus domestica
6c45e19a-6d85-4120-8327-ed29cb5641c2,wfo-0000995790,Prunus africana
acc27788-498f-4a34-855f-b77a311b8af1,wfo-0000995790,Prunus africana
63f43586-4e91-49e8-a850-8723cd9a456a,wfo-0000995790,Prunus africana
9b2a6b55-d9e1-47f7-9197-8c493cbf63a2,wfo-0000592446,Cedrela odorata
f43b52cf-a5e9-4ae8-aab3-720b391720e6,wfo-4000033004,Rhizophora
eed75207-c5aa-4844-b593-4b3e96198942,wfo-4000033004,Rhizophora
3dce728d-db84-49ec-97f9-51c9aec542ec,wfo-4000033004,Rhizophora
6ef2bf86-40c8-4951-8dfa-31600b18adc0,wfo-4000033004,Rhizophora
cd702e8f-1b45-455a-ae2b-5da6ff7da2b7,wfo-4000033004,Rhizophora
7ec22753-3bb2-4905-8097-0e8802cdfcfa,wfo-4000033004,Rhizophora
c63ac039-c881-4f0d-ba3c-5881019e0a24,wfo-4000033004,Rhizophora
3e00f857-a50a-4e16-a10c-73d94ac86288,wfo-4000033004,Rhizophora
261e600e-58c9-4977-bbea-9182b57dd171,wfo-4000033004,Rhizophora
11cdb698-94a2-43de-8109-dc60b10a57f1,wfo-4000033004,Rhizophora
e2906296-d714-4d6c-81ce-5d67ce7cc07b,wfo-4000033004,Rhizophora
22998e39-0bf7-4ce2-86fe-daddeb679f02,wfo-0001008355,Malus domestica
73855c23-da18-4658-9165-2868a176d67f,wfo-0000164878,Senna spectabilis
91ff9825-da98-4960-945c-1f1e71a7c578,wfo-0000164745,Senna siamea
22ef8525-2707-4c5d-88bd-e68a2b20f7da,wfo-0000178461,Sesbania sesban
2f9bb08e-6ea0-4b0f-b2fb-13f482af53da,wfo-0000709544,Grevillea robusta
5ffb3caf-4d8d-4b6f-a14a-c84baa70f28d,wfo-0000779723,Spathodea campanulata
06546e36-9c5e-4dcc-b213-1b7af9ece49a,wfo-0000779723,Spathodea campanulata
ccf771a7-6fc0-4f88-811d-eca5b571b4b0,wfo-0000779723,Spathodea campanulata
dbd72225-2044-4291-837d-fff5a963fc03,wfo-0000318491,Syzygium cordatum
db1799ee-d990-484d-a948-cd2de2214896,wfo-0000318521,Syzygium cumini
e157b42f-ea31-49ee-b42f-9d246a54dee4,wfo-0000627601,Rhopalocarpus coriaceus
7cbb1d38-eac1-4139-b17f-5d1bdf02edfa,wfo-4000037774,Tephrosia
2c039a25-502c-42fc-bf14-c648e3cc5bf8,wfo-0000408726,Terminalia ivorensis
38b09d51-2e1f-40e0-80d1-dc2cbb5bf150,wfo-0000408726,Terminalia ivorensis
71f2a03d-3675-4470-b71a-83ada9a4f5fd,wfo-0000408827,Terminalia mantaly
d3b999a0-a2ee-4fd2-a855-92932668125e,wfo-0000408519,Terminalia superba
945a6842-5fe1-4539-91b8-6aaf33dff5aa,wfo-0000458440,Theobroma cacao
46188ccd-e2cb-405d-b18b-1aef50335daf,wfo-0000729632,Ilex mitis
937c5f8a-1d24-424d-bc00-2be9978ed3c9,wfo-0000329039,Uapaca guineensis
3bbf134c-2188-453a-a6e0-4dc6ec5ac5c7,wfo-4000039691,Uapaca
bf1f51c7-9bd5-4bb1-b9c1-758d1ca09067,wfo-0000427581,Warburgia ugandensis
5bdbd4e3-9e34-4173-8c51-16ad20fa450f,wfo-0000427581,Warburgia ugandensis
