uuid,planting_status
118bfd89-05c9-4a25-a110-48e612909985,in-progress
6f8c2a13-559a-4acb-8688-640f39ed9b51,in-progress
019a4931-1274-4801-b115-4367c5323c04,in-progress
f476abaa-8c5f-4059-87d9-836b6c752b36,in-progress
97d2eb10-72b9-440f-829a-95e7e7b67066,in-progress
fe66980e-2b44-4695-9cdf-78ccda57f76f,in-progress
8b26c5e4-301f-4a76-b4b0-c9858666b6c2,in-progress
a3fdd799-9285-497e-9450-0809a9c806a0,in-progress
b7fbb1d8-3b33-46fa-8a68-ef075f94bf6b,in-progress
850d721b-1433-4cd2-ace4-806fc90ec17c,in-progress
ef180c7b-c4ec-47b9-bc07-661655487969,completed
8ca3b9df-7acf-4b0f-9ade-de4c510e8c29,in-progress
2aa2be0d-96c4-489e-bfd7-fda815a0be25,in-progress
7d18c89a-a119-4875-a004-9f62c08cf192,in-progress
e7d27415-32bd-400c-a7e2-1e6f3be90a9a,in-progress
7764193e-c12d-401a-8d57-e834a81e8584,in-progress
e65933b2-4374-4271-ad7c-2de60145c1d1,in-progress
777d0888-5733-498a-980d-b4b6824bf192,in-progress
cf01748e-1384-49c3-bb47-1f853bb78887,not-started
1c3e3c2a-9b0c-4ecd-8dc3-b87982e860b2,in-progress
118f86e1-47be-4263-8273-8948c5be3447,in-progress
00006f21-80ae-4f14-b2d0-4de60f4cc0b5,in-progress
47a5bdc1-1a07-47ee-a481-9395a30a5e41,in-progress
89ccf7dd-0dfe-4b47-8523-0c04920ba7a9,in-progress
fdcf6f40-143c-4b2b-92b4-dc8108716c9a,completed
972c2acd-4586-420f-8ae8-47d79cb21a69,completed
1299add3-3e82-489c-86db-0a6d4fbd0328,not-started
1ce39550-a943-424d-a0d2-7903c49bf760,in-progress
15360637-6b42-4839-9a04-6f5952a75f2b,in-progress
285ad822-48d3-4c46-ab31-9c54f9c23999,in-progress
d8975d71-49b1-49c9-a35d-3a3cc79f8677,in-progress
599e0746-e287-4968-8091-b8d755a39c70,not-started
941a879c-a6d0-4e76-b514-4425a1954b5d,in-progress
77327994-f762-4bec-8de8-a49a77a973c8,in-progress
14fc779e-a43a-4d00-b219-7095aeac36e0,in-progress
537b892a-5a0b-42e0-a901-59209e4aa339,in-progress
48f93240-c20a-4831-8036-0ff4058595c0,in-progress
504f8d35-d591-4e28-b3e6-3beb578a712d,in-progress
8965dd33-0481-4e38-ba62-bd7beca4f999,no-restoration-expected
083fb760-61b4-4329-989b-550308c6e612,no-restoration-expected
5b5a90fd-1f7e-4aed-a3d0-c50a61b3617a,no-restoration-expected
8bc5430e-ffea-4b0a-8527-f4e4e4361e03,no-restoration-expected
2cccc1b7-35e4-470f-b320-8d4d5485cfe0,no-restoration-expected
734aace4-df83-4ed9-8245-d7158170654f,no-restoration-expected
0c59735d-e89c-4510-b2cc-85843750582a,no-restoration-expected
9170d4b6-d2b2-410f-b2f5-2cb49be0df96,in-progress
7e474921-8b90-4b6c-97ee-c1bbc43f471a,in-progress
6b3e296c-d174-488e-8a0a-8f8a2d9e6006,in-progress
3a10f85d-0eca-45fe-b39f-292ee74ea248,in-progress
9ee31b2d-63a8-4f8e-b4f6-86ec183bccf1,in-progress
