uuid,planting_status
1442f76f-2b93-455e-9df4-12dd1f62055d,in-progress
19ce1a75-1ef6-4a78-9d1c-ff4f2dd30d4f,in-progress
c47e84e9-dbd4-4670-a3d3-f4f9101076b8,in-progress
745d8a02-ea05-4dc7-b951-d5fc220b592b,in-progress
9b2f90b9-ad0f-494f-a748-aaed52567255,in-progress
53ed5f00-d584-478b-a5af-53e9ebc5bc82,in-progress
5d55d6bc-1647-4eb9-a2bc-c36c1f5da5ab,in-progress
413a11cf-4e4b-4c67-b5d3-dc42ddfe15ae,completed
cebbf324-229f-4db8-88b8-aa6dd5b520c3,completed
fd07dbc7-e210-4010-bdf0-f9f14ead8fa2,completed
6543989e-404e-4761-9ad3-c916e6bfc584,completed
c7c9868b-d74e-4d3e-8d5a-d2aed6a993d3,in-progress
78317f51-39ee-49fd-a33b-2411ebac7246,in-progress
a95bc4cf-e318-4000-9b27-76913f07cdec,in-progress
f44077c7-5873-4bf8-8b91-82f2c27527c4,in-progress
fdfde1ca-1dd9-4ce0-9e54-6e34d63b1e8a,in-progress
55d05612-f779-4aa7-871f-0b392d06d9af,in-progress
b4060059-ea1a-48d3-b5d0-f25e8747a472,in-progress
049f9b46-b4b8-4004-96a7-87fda8813fba,in-progress
c6112aea-0426-4c6d-bd46-a8823ed5fdfc,in-progress
164111b3-59c6-441a-9f7a-1da0b648c963,in-progress
ccce6a8d-e1d5-4d82-b999-1963bd71e7ce,in-progress
79ed9d8e-2881-4078-b6e6-1718b789eef3,completed
2dee4e61-01e2-44ac-af85-af51f7ea7659,completed
805604e5-30e6-473a-914e-dc6707c61bac,completed
2f8a77ec-69bc-4ec7-bdc6-c30e8dbb3a91,completed
b31e27a6-2a9d-4524-88fe-8e9024356eff,no-restoration-expected
2fd9a7ee-659a-44cf-b7f9-2102241224b0,completed
d3ce2f9b-385a-4680-bbcf-31378e72d22a,completed
727b8223-8082-4d5b-97be-3da87b654f5e,completed
90c9663c-19a6-4905-a563-36460f193fb7,completed
eca092b2-f824-4152-9fa4-ea6899d3a6ea,completed
138ecc9b-fda2-438b-ab9e-7426668ec2c5,completed
5ccb183d-e894-49ae-8c86-42012d9983b3,no-restoration-expected
263a302f-7c1b-4634-9c2f-ac732fe54558,no-restoration-expected
baf1b02a-a1bc-4d90-a0b9-10201f3000cd,no-restoration-expected
7f1c66a2-7631-460e-bc5c-8dfd7ea9671d,no-restoration-expected
2d3a0b4b-6cc4-48cc-b5b8-8310bdff44b1,completed
6d746fb2-27b9-42ab-aa3d-439e4468f554,completed
bd84c09f-64f2-425d-9941-331b495cecd2,completed
c99de88c-5b26-4e08-9ff0-25377d60a094,completed
7b617ba0-e9cc-49de-98ac-0bab24cfdcdc,completed
2f52ba7e-9e8f-46f7-92ec-2c143a508c25,completed
0c27bce9-6391-4292-b598-3b199acc4469,completed
37036a69-2361-4049-9ae8-ec9aecba609e,completed
f2a96acb-969d-42f4-a112-5394b093eb21,completed
d5b7b680-a094-44fd-8cf0-98d6404400ec,completed
74a84ae5-3b4e-4b10-b071-1f099933b1b7,completed
36605467-9d93-4b0e-8ff2-318794248483,completed
8c6e6be7-907c-4d75-b897-4c4b17303092,completed
fac3b9ec-4c6d-4122-9527-dc10c4798cf9,in-progress
7150be4a-41cb-4cd0-bc25-eb66af9b9f54,in-progress
46f7cb0d-242e-4893-8c07-bde77346eb61,in-progress
